stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
TCS,15,RecursiveTabular,autogluon_internal,239.30402018229267,67944.59000123778,260.6618307333043,5.787715317175002,5.992052504005514,5.852791560563528,6.3516628692500685,-4.300423698352506,,
TCS,15,arima,flaml,245.77180659743055,72331.32987159266,268.9448454081109,5.94016872021302,6.157561548669936,6.010977811330274,6.523332358078451,-4.642637551830955,,
TCS,15,ETS,autogluon_internal,246.47340905665789,72747.53371749588,269.7175072506341,5.957061591019078,6.175700482425505,6.028137293018497,6.541954453460945,-4.675106019565188,,
TCS,15,AutoARIMA,statsforecast,251.30282645731157,76001.76996329479,275.68418518894913,6.072625305531855,6.301186056345101,6.14625304127652,6.67013797148323,-4.928972161327998,,
TCS,15,Theta,autogluon_internal,254.20782346357262,77411.02391546572,278.22836648240184,6.144068943648535,6.376985924774854,6.217302169280116,6.7472430765537394,-5.038909435876974,,
TCS,15,Naive,autogluon_internal,254.654882812501,77667.81853558267,278.68946613674274,6.1547664447812975,6.3884729748909725,6.228236148502388,6.759109029598642,-5.058942234515579,,
BANKNIFTY,15,XGBoostSeq,dl_univariate,263.86075427551987,,306.51698444106114,0.51416484003912,,,,,,Close
NIFTY50,15,XGBoostSeq,dl_multivariate,358.85614798092064,,386.2095210901614,1.5092826634707746,,,,,,Close
BANKNIFTY,15,XGBoostSeq,dl_multivariate,314.39463043323485,,399.2911372313515,0.6136409076820292,,,,,,Close
TCS,15,BiLSTM,dl_univariate,397.4932948745103,,401.48122024627327,9.94051492734204,,,,,,Close
TCS,15,AttentionForecaster,dl_multivariate,407.8927064187803,,419.4493261686272,10.180405711755043,,,,,,Close
TCS,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,423.69200424223334,,426.1928263573753,10.638461264449536,,,,,,Close
HDFCBANK,15,decomposition+model/ExpSmoothing,classical,433.5991968296883,,434.1232662295339,48.561506180630445,,,,,Close,
HDFCBANK,15,decomposition+model/ARIMA,classical,434.3023781834482,,434.8248491961879,48.640227112294774,,,,,Close,
HDFCBANK,15,decomposition+model/RandomForest,classical,435.66698273585877,,436.38436157606446,48.78346230521115,,,,,Close,
HDFCBANK,15,decomposition+model/XGBoost,classical,436.77197224177604,,437.4853603340123,48.90742249036478,,,,,Close,
NIFTY50,15,XGBoostSeq,dl_univariate,431.93405139369787,,443.97270175352946,1.8139412441504312,,,,,,Close
HDFCBANK,15,decomposition+model/LSTM,classical,473.8305776894484,,474.41834632106094,53.06629122382949,,,,,Close,
NIFTY50,15,original/XGBoost,classical,439.83815020444257,,533.7537877005169,1.8253380833175397,,,,,Close,
RELIANCE,15,decomposition+model/ARIMA,classical,536.2771528036072,,537.3107805889659,42.56738171455142,,,,,Close,
RELIANCE,15,decomposition+model/ExpSmoothing,classical,538.4307669623983,,539.397808480658,42.74138690461746,,,,,Close,
TCS,15,AttentionForecaster,dl_univariate,544.504428333493,,549.7059551702921,13.61498188228945,,,,,,Close
NIFTY50,15,RecursiveTabular,autogluon_internal,526.3332682291667,312330.9614383062,558.865781237594,2.1620845277006957,2.187394457657181,2.173471079969251,2.939470079896652,-0.9065169798808745,,
RELIANCE,15,decomposition+model/RandomForest,classical,564.9446533575481,,566.1776089386894,44.852342650184426,,,,,Close,
RELIANCE,15,decomposition+model/XGBoost,classical,566.0097805413095,,567.1373128411994,44.93727608373971,,,,,Close,
