stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
RELIANCE,15,original/RandomForest,classical,0.00014896142882919576,,0.00022019687016364267,5329.295919921615,,,,,Volatility
RELIANCE,15,decomposition+model/LSTM,classical,0.00013512129355109547,,0.00022040177565513507,3934.749979291889,,,,,Volatility
RELIANCE,15,decomposition+model/RandomForest,classical,0.00012909939961144341,,0.0002311909771953987,2199.743439787603,,,,,Volatility
RELIANCE,15,decomposition+model/XGBoost,classical,0.0001319714870890641,,0.00023439061517454174,2238.8467700956244,,,,,Volatility
RELIANCE,15,original/LSTM,classical,0.00018025607810362391,,0.00023820047411822704,7086.495355094954,,,,,Volatility
HDFCBANK,15,SeasonalNaive,autogluon_internal,0.00017469496010276027,5.974571688228524e-08,0.00024442936992572157,3976116.1555904387,115.01780987312449,155.40034878581713,0.599775789658597,-1.7363465200115513,
RELIANCE,15,WeightedEnsemble,autogluon_timeseries,0.00014039697718413246,6.527245999653184e-08,0.0002554847549199988,438.9431897948028,61.937477089381495,63.23161635515682,0.34163950672863314,0.08496271299458336,
RELIANCE,15,DirectTabular,autogluon_internal,0.0001775008516925662,6.71528250691043e-08,0.00025913862133827967,524.8154754648378,74.37822889583823,79.94236045565248,0.4319274149088604,0.05860237427473325,
RELIANCE,15,decomposition+model/ARIMA,classical,0.00014732401217694692,,0.0002597965437105861,792.595141493437,,,,,Volatility
RELIANCE,15,decomposition+model/ExpSmoothing,classical,0.0001499195310496216,,0.00026129385302897304,403.78883922852174,,,,,Volatility
HDFCBANK,15,RecursiveTabular,autogluon_internal,0.00019211311507413004,6.865133297184673e-08,0.00026201399384736445,4429413.341306907,123.94133282275111,170.89471311186338,0.65957710073365,-2.1442226468181556,
RELIANCE,15,Naive,autogluon_internal,0.0001576764206027772,7.145421305999977e-08,0.0002673092087078179,510.08388691710013,69.35432705325294,71.01388602358006,0.38368699695592495,-0.0016976419611465232,
RELIANCE,15,xgb_limitdepth,flaml,0.00016664596150355303,7.845832967848201e-08,0.00028010414077353805,443.067646993063,73.4005355709741,75.05356394610332,0.405513318222831,-0.09988649325901511,
