horizon,mae,mape,model_col,mse,r2,rmse,source,stock
15,0.0001499195310496216,403.78883922852174,decomposition+model/ExpSmoothing,,,0.00026129385302897304,brain_automl,RELIANCE
15,0.00019211311507413004,4429413.341306907,RecursiveTabular,6.865133297184673e-08,-2.1442226468181556,0.00026201399384736445,brain_automl,HDFCBANK
15,0.0001576764206027772,510.08388691710013,Naive,7.145421305999977e-08,-0.0016976419611465232,0.0002673092087078179,brain_automl,RELIANCE
15,0.00016664596150355303,443.067646993063,xgb_limitdepth,7.845832967848201e-08,-0.09988649325901511,0.00028010414077353805,brain_automl,RELIANCE
15,0.00014766822526271863,279.0561761830102,ETS,8.02560893269692e-08,-0.12508880847016113,0.0002832950570111826,brain_automl,RELIANCE
15,0.00014626951681898518,187.83449802211635,AutoARIMA,8.38009679309133e-08,-0.1747835204618482,0.00028948396834870373,brain_automl,RELIANCE
15,0.0001850026715835608,363.36737727068436,Theta,9.573887787417972e-08,-0.34213791046924014,0.00030941699674416677,brain_automl,RELIANCE
15,0.00021082281225071875,756.3656374466402,RecursiveTabular,9.643360859619365e-08,-0.3518771560117666,0.00031053761220855945,brain_automl,RELIANCE
15,0.00020747135064347422,652.2367376296307,SeasonalNaive,9.714112219601448e-08,-0.36179560132444344,0.0003116747057366293,brain_automl,RELIANCE
15,0.0002257024352685915,2276.7450004878915,original/RandomForest,,,0.000348791622062265,brain_automl,TCS
15,0.00021266174568616736,1553.1869820158156,original/XGBoost,,,0.00035146663730098346,brain_automl,TCS
15,0.00022135955495126595,1960.4031328016838,original/ExpSmoothing,,,0.00036351535364742446,brain_automl,TCS
15,0.000221119323678204,1948.5729127390907,original/ARIMA,,,0.00036380724977730703,brain_automl,TCS
15,0.00021523419719302105,1689.1584247634714,original/LSTM,,,0.00036482555214629027,brain_automl,TCS
15,0.00020619728773034783,1262.7780378048642,decomposition+model/LSTM,,,0.0003757643030006546,brain_automl,TCS
15,0.0003586443388161368,3985877.881058342,Naive,1.4584065921381073e-07,-5.67948434031138,0.00038189089962162065,brain_automl,HDFCBANK
15,0.00020241538207135763,1084.1324872279147,decomposition+model/RandomForest,,,0.00038298195332868,brain_automl,TCS
15,0.0002070480991211617,1370.7476955930435,decomposition+model/XGBoost,,,0.00038425438881781323,brain_automl,TCS
15,0.00019774216141965536,214.4875157913311,decomposition+model/ARIMA,,,0.00040739235563136823,brain_automl,TCS
15,0.00020856617950624473,188.45023084888552,decomposition+model/ExpSmoothing,,,0.00041291978952624124,brain_automl,TCS
15,0.00027256909177036075,1887.8278278215066,arima,1.8176756246109108e-07,0.01566069665587988,0.0004263420721217777,brain_automl,TCS
15,0.00027435261573707776,1819.1062657426464,ETS,1.84721830946106e-07,-0.00033777162447434783,0.00042979277674957034,brain_automl,TCS
15,0.00026415048189468274,2021.7290951422842,Theta,1.8521591189867719e-07,-0.003013404691587951,0.00043036718264602517,brain_automl,TCS
15,0.00026138114833865894,1577.9747436397206,AutoARIMA,1.8661775105729514e-07,-0.010604887803927543,0.0004319927673668798,brain_automl,TCS
15,0.0002548077275773055,1289.4956471455732,DirectTabular,2.099108193519487e-07,-0.13674556058108656,0.0004581602550985285,brain_automl,TCS
15,0.00021447884767858053,508.9585571478447,WeightedEnsemble,2.1567126153746355e-07,-0.16794050851937725,0.00046440420060273307,brain_automl,TCS
15,0.000215515409557993,202.80978422584374,Naive,2.276457005649007e-07,-0.2327865724188547,0.00047712231195459797,brain_automl,TCS
15,0.00038493662516439524,6402.378103323261,RecursiveTabular,3.316559289832264e-07,-0.7960408428493839,0.0005758957622549643,brain_automl,TCS
15,0.0003908510989686338,6534.4436934890755,SeasonalNaive,3.414266921921358e-07,-0.8489531783617061,0.00058431728726107,brain_automl,TCS
30,6.900152896553686e-05,97758.71723484833,decomposition+model/XGBoost,,,9.748977800524768e-05,brain_automl,BANKNIFTY
30,6.9934526719821e-05,79100.23966873782,WeightedEnsemble,9.964374219913026e-09,-0.01111738364697934,9.98217121668078e-05,brain_automl,BANKNIFTY
30,7.060919490806305e-05,94576.07252605207,decomposition+model/LSTM,,,9.998004808757735e-05,brain_automl,BANKNIFTY
30,8.41641138428917e-05,221053.04910339083,arima,1.0157856201232121e-08,-0.030750628085274512,0.00010078619052842567,brain_automl,BANKNIFTY
30,6.958816997585719e-05,88274.17039121197,decomposition+model/RandomForest,,,0.00010276793975772128,brain_automl,BANKNIFTY
30,8.950807939266194e-05,198899.1536793169,ETS,1.0805604855186536e-08,-0.0964797857616666,0.00010395001132845795,brain_automl,BANKNIFTY
30,8.684105183563832e-05,162053.12041841316,original/XGBoost,,,0.00010531083352421069,brain_automl,BANKNIFTY
30,7.385712803573611e-05,73253.37984068526,AutoARIMA,1.1501907942651356e-08,-0.16713591935164818,0.00010724694840717546,brain_automl,BANKNIFTY
30,6.53970576264729e-05,2223928.535267038,arima,1.1575403602465508e-08,0.0837963343428243,0.00010758904964012605,brain_automl,NIFTY50
30,6.47550732007989e-05,44494.53790657895,Naive,1.1636821888154656e-08,-0.18082607515914217,0.00010787410202710683,brain_automl,BANKNIFTY
30,7.007730920323874e-05,10483110.060881948,original/XGBoost,,,0.00011087029887071808,brain_automl,NIFTY50
30,7.567560954529293e-05,13624465.592691546,original/RandomForest,,,0.0001116276736972499,brain_automl,NIFTY50
30,7.405409971793445e-05,13117948.198944831,original/ExpSmoothing,,,0.00011247057869645408,brain_automl,NIFTY50
30,7.62215325656609e-05,14105331.695993926,original/ARIMA,,,0.0001128355199918265,brain_automl,NIFTY50
30,6.817983687475824e-05,10450318.60858,original/LSTM,,,0.00011340449128211276,brain_automl,NIFTY50
30,0.0001006966680205526,208960.63704760242,original/ExpSmoothing,,,0.00011452714375827179,brain_automl,BANKNIFTY
30,6.231262729170593e-05,5538754.1365781035,decomposition+model/XGBoost,,,0.00011500607567677653,brain_automl,NIFTY50
30,6.5068694423227e-05,7563449.740621206,decomposition+model/LSTM,,,0.00011642478020752034,brain_automl,NIFTY50
30,6.32531127144303e-05,5557045.167294589,decomposition+model/RandomForest,,,0.00011694647457147751,brain_automl,NIFTY50
30,7.604922502096305e-05,15167722.564966595,DirectTabular,1.3710125601710982e-08,-0.08516884285852444,0.00011709024554466944,brain_automl,NIFTY50
30,0.00010178268450805033,197976.87021673002,original/RandomForest,,,0.00011716318833037976,brain_automl,BANKNIFTY
30,6.570473219628553e-05,11074.124761062067,decomposition+model/ARIMA,,,0.00011733880439111174,brain_automl,BANKNIFTY
30,0.00010675351167903699,222806.32029835833,original/ARIMA,,,0.00011951128720694498,brain_automl,BANKNIFTY
30,7.092369027571542e-05,5188182.573376989,ETS,1.4624614673022563e-08,-0.1575514800531912,0.00012093227308300528,brain_automl,NIFTY50
